country_France,country_Germany,country_Spain,gender_Female,gender_Male,credit_score,age,tenure,balance,products_number,credit_card,active_member,estimated_salary
1.0,0.0,0.0,0.0,1.0,675.0,39.0,7.0,0.0,2.0,0.0,1.0,36267.21
1.0,0.0,0.0,1.0,0.0,608.0,34.0,4.0,88772.87,1.0,1.0,1.0,168822.01
0.0,1.0,0.0,1.0,0.0,603.0,35.0,9.0,145623.36,1.0,1.0,0.0,163181.62
1.0,0.0,0.0,0.0,1.0,544.0,30.0,4.0,73218.89,1.0,0.0,1.0,126796.69
1.0,0.0,0.0,0.0,1.0,597.0,19.0,2.0,0.0,2.0,1.0,1.0,91036.74
0.0,0.0,1.0,0.0,1.0,640.0,62.0,3.0,0.0,1.0,1.0,1.0,101663.47
1.0,0.0,0.0,0.0,1.0,456.0,29.0,5.0,107000.49,1.0,1.0,1.0,153419.62
0.0,1.0,0.0,0.0,1.0,712.0,37.0,7.0,93978.96,2.0,1.0,0.0,60651.77
0.0,1.0,0.0,1.0,0.0,430.0,38.0,8.0,153058.64,1.0,1.0,0.0,99377.27
0.0,1.0,0.0,1.0,0.0,572.0,35.0,1.0,139979.07,1.0,1.0,0.0,185662.84
1.0,0.0,0.0,0.0,1.0,595.0,41.0,9.0,0.0,2.0,1.0,0.0,5967.09
0.0,1.0,0.0,1.0,0.0,528.0,29.0,9.0,170214.23,2.0,1.0,0.0,49284.0
1.0,0.0,0.0,0.0,1.0,653.0,37.0,7.0,135847.47,1.0,1.0,0.0,144880.81
0.0,1.0,0.0,0.0,1.0,837.0,38.0,2.0,126732.85,1.0,1.0,1.0,79577.38
0.0,0.0,1.0,1.0,0.0,773.0,23.0,8.0,0.0,2.0,1.0,0.0,56759.79
0.0,1.0,0.0,0.0,1.0,751.0,54.0,9.0,156367.6,2.0,0.0,1.0,116179.92
0.0,0.0,1.0,1.0,0.0,545.0,47.0,5.0,0.0,2.0,1.0,1.0,38970.14
0.0,1.0,0.0,1.0,0.0,732.0,42.0,2.0,118889.66,2.0,0.0,0.0,87422.15
1.0,0.0,0.0,0.0,1.0,639.0,27.0,8.0,0.0,2.0,1.0,0.0,192247.35
0.0,0.0,1.0,0.0,1.0,735.0,38.0,7.0,86131.71,2.0,0.0,0.0,93478.96
0.0,1.0,0.0,0.0,1.0,738.0,35.0,6.0,101744.84,1.0,0.0,0.0,85185.44
0.0,1.0,0.0,0.0,1.0,599.0,25.0,7.0,108380.72,1.0,1.0,1.0,79005.95
1.0,0.0,0.0,1.0,0.0,786.0,29.0,4.0,0.0,2.0,1.0,0.0,103372.79
0.0,0.0,1.0,1.0,0.0,635.0,37.0,3.0,0.0,2.0,1.0,0.0,91086.73
1.0,0.0,0.0,0.0,1.0,663.0,36.0,10.0,0.0,2.0,1.0,0.0,136349.55
0.0,0.0,1.0,0.0,1.0,762.0,35.0,9.0,122929.42,2.0,0.0,0.0,149822.04
1.0,0.0,0.0,0.0,1.0,590.0,41.0,1.0,89086.31,1.0,1.0,0.0,24499.97
1.0,0.0,0.0,0.0,1.0,725.0,35.0,7.0,75915.75,1.0,1.0,0.0,150507.43
