iter	Passed	Remaining
0	139	139612
1	147	73382
2	153	51065
3	166	41359
4	174	34689
5	183	30323
6	192	27260
7	199	24684
8	206	22789
9	214	21272
10	221	19906
11	228	18786
12	233	17751
13	241	17014
14	262	17205
15	270	16642
16	279	16133
17	285	15567
18	297	15374
19	317	15541
20	333	15555
21	360	16014
22	368	15670
23	380	15472
24	387	15108
25	397	14882
26	403	14535
27	409	14232
28	417	13979
29	424	13736
30	432	13521
31	440	13312
32	448	13136
33	457	12994
34	463	12777
35	470	12605
36	483	12578
37	493	12489
38	499	12309
39	512	12305
40	520	12166
41	530	12104
42	542	12083
43	550	11952
44	557	11832
45	562	11663
46	567	11501
47	572	11353
48	577	11209
49	582	11058
50	586	10920
51	593	10818
52	604	10796
53	612	10723
54	625	10752
55	633	10687
56	653	10812
57	680	11053
58	688	10981
59	698	10943
60	708	10909
61	714	10812
62	719	10698
63	727	10643
64	732	10543
65	738	10452
66	750	10444
67	759	10404
68	764	10320
69	773	10272
70	778	10184
71	785	10127
72	793	10082
73	800	10023
74	812	10015
75	820	9971
76	828	9931
77	839	9919
78	843	9838
79	852	9802
80	858	9745
81	864	9683
82	873	9645
83	888	9687
84	898	9674
85	913	9704
86	919	9646
87	926	9602
88	931	9534
89	936	9474
90	946	9452
91	952	9399
92	964	9405
93	971	9361
94	976	9305
95	983	9256
96	989	9210
97	997	9184
98	1006	9159
99	1011	9104
100	1019	9076
101	1026	9037
102	1031	8979
103	1040	8963
104	1046	8916
105	1060	8940
106	1101	9195
107	1108	9159
108	1119	9154
109	1127	9126
110	1140	9137
111	1175	9321
112	1182	9285
113	1189	9245
114	1194	9195
115	1200	9148
116	1205	9098
117	1211	9052
118	1216	9003
119	1221	8955
120	1226	8907
121	1230	8856
122	1235	8807
123	1240	8764
124	1245	8715
125	1249	8669
126	1254	8622
127	1258	8575
128	1262	8526
129	1268	8488
130	1274	8455
131	1279	8412
132	1285	8378
133	1289	8335
134	1294	8294
135	1300	8261
136	1305	8224
137	1311	8191
138	1316	8156
139	1322	8123
140	1328	8094
141	1333	8056
142	1338	8019
143	1343	7988
144	1349	7955
145	1353	7919
146	1361	7901
147	1367	7872
148	1373	7845
149	1378	7812
150	1383	7779
151	1390	7757
152	1396	7729
153	1402	7704
154	1411	7695
155	1416	7665
156	1421	7635
157	1425	7598
158	1429	7561
159	1433	7526
160	1437	7492
161	1441	7456
162	1445	7422
163	1449	7389
164	1453	7355
165	1456	7315
166	1460	7283
167	1464	7250
168	1467	7217
169	1471	7185
170	1475	7154
171	1479	7121
172	1483	7090
173	1486	7058
174	1491	7032
175	1496	7005
176	1500	6976
177	1505	6952
178	1509	6924
179	1514	6897
180	1518	6871
181	1523	6846
182	1527	6819
183	1531	6792
184	1538	6778
185	1543	6754
186	1548	6730
187	1555	6717
188	1559	6692
189	1564	6668
190	1568	6645
191	1573	6622
192	1578	6600
193	1584	6584
194	1591	6568
195	1598	6556
196	1604	6538
197	1611	6528
198	1617	6508
199	1623	6492
200	1631	6485
201	1638	6474
202	1646	6464
203	1653	6451
204	1657	6429
205	1662	6408
206	1666	6385
207	1671	6363
208	1675	6342
209	1680	6320
210	1687	6309
211	1695	6301
212	1702	6292
213	1716	6305
214	1731	6321
215	1740	6317
216	1745	6299
217	1751	6282
218	1755	6262
219	1763	6250
220	1767	6229
221	1771	6209
222	1775	6187
223	1780	6166
224	1784	6145
225	1788	6125
226	1792	6104
227	1797	6084
228	1802	6067
229	1806	6048
230	1811	6029
231	1814	6007
232	1818	5985
233	1821	5964
234	1825	5942
235	1829	5921
236	1833	5903
237	1837	5882
238	1840	5861
239	1845	5842
240	1848	5823
241	1851	5800
242	1855	5780
243	1857	5756
244	1861	5737
245	1865	5717
246	1868	5697
247	1872	5678
248	1878	5665
249	1882	5647
250	1886	5629
251	1891	5613
252	1895	5596
253	1899	5580
254	1905	5565
255	1911	5555
256	1917	5544
257	1923	5530
258	1929	5518
259	1934	5506
260	1939	5492
261	1945	5478
262	1951	5469
263	1956	5455
264	1963	5444
265	1968	5431
266	1973	5418
267	1979	5407
268	1985	5396
269	1994	5391
270	1998	5375
271	2004	5365
272	2011	5357
273	2022	5359
274	2029	5349
275	2035	5340
276	2042	5330
277	2049	5321
278	2054	5309
279	2059	5294
280	2065	5284
281	2069	5270
282	2073	5253
283	2077	5237
284	2081	5223
285	2086	5208
286	2090	5193
287	2094	5177
288	2098	5162
289	2102	5147
290	2105	5131
291	2110	5116
292	2114	5101
293	2118	5087
294	2122	5071
295	2125	5056
296	2130	5041
297	2133	5026
298	2138	5013
299	2142	4998
300	2146	4985
301	2151	4973
302	2156	4959
303	2160	4946
304	2164	4932
305	2168	4918
306	2172	4904
307	2177	4892
308	2181	4877
309	2184	4863
310	2188	4848
311	2193	4837
312	2197	4822
313	2201	4808
314	2204	4794
315	2209	4782
316	2213	4768
317	2216	4754
318	2220	4740
319	2227	4732
320	2230	4718
321	2234	4704
322	2238	4692
323	2242	4678
324	2246	4665
325	2250	4652
326	2255	4641
327	2258	4628
328	2262	4614
329	2266	4602
330	2271	4591
331	2276	4579
332	2280	4568
333	2286	4559
334	2292	4549
335	2295	4536
336	2299	4523
337	2303	4510
338	2306	4497
339	2310	4484
340	2314	4473
341	2319	4462
342	2323	4450
343	2329	4441
344	2333	4430
345	2338	4420
346	2343	4410
347	2347	4398
348	2352	4387
349	2356	4376
350	2361	4365
351	2365	4355
352	2370	4344
353	2376	4336
354	2381	4327
355	2387	4319
356	2393	4311
357	2399	4303
358	2405	4295
359	2410	4285
360	2416	4276
361	2423	4271
362	2429	4263
363	2437	4259
364	2442	4249
365	2448	4241
366	2454	4234
367	2460	4225
368	2466	4216
369	2471	4208
370	2477	4199
371	2484	4193
372	2488	4183
373	2494	4175
374	2500	4167
375	2507	4161
376	2513	4152
377	2518	4143
378	2524	4135
379	2529	4126
380	2534	4116
381	2538	4106
382	2542	4095
383	2547	4086
384	2552	4077
385	2556	4066
386	2561	4056
387	2565	4046
388	2574	4043
389	2579	4033
390	2583	4023
391	2587	4013
392	2592	4003
393	2596	3993
394	2600	3982
395	2604	3971
396	2609	3962
397	2613	3952
398	2617	3942
399	2622	3933
400	2626	3923
401	2630	3913
402	2635	3903
403	2639	3894
404	2643	3883
405	2647	3873
406	2652	3865
407	2657	3855
408	2661	3845
409	2665	3835
410	2669	3825
411	2674	3816
412	2677	3805
413	2681	3796
414	2686	3786
415	2690	3776
416	2693	3765
417	2697	3756
418	2702	3747
419	2706	3737
420	2709	3726
421	2713	3717
422	2717	3706
423	2721	3696
424	2725	3687
425	2728	3677
426	2732	3667
427	2736	3657
428	2740	3647
429	2745	3639
430	2750	3631
431	2755	3623
432	2762	3617
433	2768	3609
434	2773	3602
435	2779	3594
436	2786	3589
437	2792	3582
438	2797	3575
439	2805	3571
440	2814	3568
441	2821	3562
442	2828	3556
443	2833	3548
444	2837	3539
445	2842	3530
446	2848	3523
447	2854	3517
448	2859	3508
449	2865	3502
450	2870	3493
451	2874	3484
452	2879	3477
453	2884	3469
454	2889	3460
455	2894	3452
456	2899	3444
457	2903	3435
458	2908	3428
459	2913	3420
460	2918	3412
461	2923	3404
462	2927	3395
463	2933	3388
464	2940	3383
465	2948	3378
466	2955	3372
467	2959	3364
468	2965	3357
469	2972	3351
470	2977	3344
471	2984	3338
472	2990	3331
473	2995	3324
474	3000	3316
475	3004	3307
476	3010	3300
477	3015	3292
478	3019	3284
479	3024	3276
480	3030	3269
481	3034	3261
482	3038	3252
483	3044	3245
484	3049	3237
485	3053	3229
486	3059	3222
487	3064	3214
488	3068	3206
489	3074	3200
490	3079	3192
491	3083	3183
492	3088	3176
493	3093	3168
494	3097	3159
495	3102	3152
496	3106	3143
497	3110	3135
498	3114	3127
499	3120	3120
500	3125	3113
501	3129	3104
502	3133	3096
503	3139	3089
504	3142	3080
505	3146	3072
506	3150	3063
507	3155	3055
508	3158	3046
509	3162	3038
510	3166	3030
511	3170	3022
512	3174	3013
513	3179	3005
514	3183	2998
515	3188	2990
516	3192	2982
517	3196	2973
518	3200	2965
519	3204	2957
520	3208	2949
521	3211	2940
522	3215	2932
523	3219	2924
524	3223	2916
525	3227	2908
526	3231	2900
527	3235	2892
528	3240	2884
529	3243	2876
530	3247	2868
531	3251	2860
532	3256	2852
533	3260	2845
534	3264	2837
535	3268	2829
536	3273	2822
537	3276	2813
538	3280	2805
539	3285	2798
540	3289	2790
541	3293	2782
542	3297	2775
543	3302	2767
544	3308	2762
545	3312	2754
546	3317	2747
547	3321	2739
548	3324	2731
549	3328	2723
550	3332	2715
551	3336	2707
552	3339	2699
553	3343	2691
554	3347	2684
555	3350	2675
556	3354	2668
557	3358	2659
558	3364	2654
559	3368	2646
560	3373	2639
561	3379	2633
562	3383	2626
563	3388	2619
564	3394	2613
565	3400	2607
566	3404	2600
567	3412	2595
568	3417	2588
569	3421	2581
570	3427	2574
571	3431	2567
572	3435	2560
573	3441	2554
574	3446	2547
575	3451	2540
576	3457	2534
577	3462	2528
578	3468	2521
579	3472	2514
580	3478	2508
581	3483	2501
582	3488	2495
583	3494	2489
584	3502	2484
585	3512	2481
586	3518	2475
587	3525	2470
588	3534	2466
589	3540	2460
590	3546	2454
591	3550	2447
592	3556	2441
593	3563	2435
594	3567	2428
595	3575	2423
596	3579	2416
597	3583	2409
